run,eps,tl,tu,post_processing,duration,unique_size,acc_size,hausdorff
6,1.0,0,5,post_uniform,0.12261486053466797,6,318.0742831949543,174.3849091141758
7,1.0,0,5,,0.1729109287261963,0,0.0,
8,1.0,0,5,post_uniform,0.12312602996826172,4,159.25776246897237,152.17734126355433
1,1.0,0,6,,0.1005854606628418,0,0.0,
2,1.0,0,6,,0.10890865325927734,0,0.0,
3,1.0,0,6,,0.10418176651000977,0,0.0,
4,1.0,0,6,,0.13585186004638672,0,0.0,
5,1.0,0,6,,0.09385156631469727,0,0.0,
6,1.0,0,6,post_centroid,0.1074068546295166,2,117.08247878243333,206.82083277124903
7,1.0,0,6,post_centroid,0.13205170631408691,1,56.88653883394136,209.61417355365964
8,1.0,0,6,,0.11187005043029785,0,0.0,
1,1.0,0,6,post_uniform,0.11476540565490723,10,538.5702533634836,166.031656863102
2,1.0,0,6,post_uniform,0.1167607307434082,3,148.0408618836701,162.17667514248154
3,1.0,0,6,post_uniform,0.1048424243927002,6,342.63715479215784,171.60213435235735
4,1.0,0,6,,0.1284482479095459,0,0.0,
5,1.0,0,6,post_uniform,0.12482428550720215,3,131.53407192791903,204.96901345145778
6,1.0,0,6,,0.12824296951293945,0,0.0,
7,1.0,0,6,post_uniform,0.10869002342224121,2,81.98200017202842,184.0235878487088
8,1.0,0,6,post_uniform,0.1585862636566162,3,137.0733039020506,177.87182972921687
1,1.0,0,7,post_centroid,0.11438584327697754,1,64.83986380978318,207.51645027049796
2,1.0,0,7,post_centroid,0.10042524337768555,2,142.50575935820018,184.66409312139038
3,1.0,0,7,,0.10948848724365234,0,0.0,
4,1.0,0,7,,0.14041543006896973,0,0.0,
5,1.0,0,7,post_centroid,0.1609194278717041,5,313.6982028821194,183.26100764170585
6,1.0,0,7,post_centroid,0.18069243431091309,1,51.109102764828634,226.85883128113744
7,1.0,0,7,,0.14522910118103027,0,0.0,
8,1.0,0,7,,0.13481378555297852,0,0.0,
1,1.0,0,7,,0.11277532577514648,0,0.0,
2,1.0,0,7,,0.14416718482971191,0,0.0,
3,1.0,0,7,,0.10186219215393066,0,0.0,
4,1.0,0,7,,0.11915206909179688,0,0.0,
5,1.0,0,7,,0.12163615226745605,0,0.0,
6,1.0,0,7,,0.1445937156677246,0,0.0,
7,1.0,0,7,post_uniform,0.12693452835083008,1,51.380359394909235,197.9761080329272
8,1.0,0,7,post_uniform,0.1331770420074463,1,46.20312347882689,208.59585390919807
1,1.0,0,8,,0.14639496803283691,0,0.0,
2,1.0,0,8,,0.11083412170410156,0,0.0,
3,1.0,0,8,,0.14592337608337402,0,0.0,
4,1.0,0,8,,0.1366729736328125,0,0.0,
5,1.0,0,8,,0.16854619979858398,0,0.0,
6,1.0,0,8,,0.15961170196533203,0,0.0,
7,1.0,0,8,post_centroid,0.16013503074645996,1,58.49511359729261,206.01582613179446
8,1.0,0,8,,0.13571619987487793,0,0.0,
1,1.0,0,8,,0.1686079502105713,0,0.0,
2,1.0,0,8,,0.11506438255310059,0,0.0,
3,1.0,0,8,,0.1311023235321045,0,0.0,
4,1.0,0,8,,0.16344881057739258,0,0.0,
5,1.0,0,8,,0.12515950202941895,0,0.0,
6,1.0,0,8,,0.16918396949768066,0,0.0,
7,1.0,0,8,post_uniform,0.16720247268676758,1,61.09653830341016,254.0758110547848
8,1.0,0,8,,0.1383967399597168,0,0.0,
1,1.0,0,9,,0.1599569320678711,0,0.0,
2,1.0,0,9,,0.17597198486328125,0,0.0,
3,1.0,0,9,,0.12501955032348633,0,0.0,
4,1.0,0,9,,0.13733386993408203,0,0.0,
5,1.0,0,9,,0.16430425643920898,0,0.0,
6,1.0,0,9,,0.13872408866882324,0,0.0,
7,1.0,0,9,,0.15711116790771484,0,0.0,
8,1.0,0,9,,0.14992880821228027,0,0.0,
1,1.0,0,9,post_uniform,0.11937618255615234,1,76.68417163232786,236.4024964857779
2,1.0,0,9,,0.14195489883422852,0,0.0,
3,1.0,0,9,,0.14159154891967773,0,0.0,
4,1.0,0,9,,0.14344120025634766,0,0.0,
5,1.0,0,9,,0.17327499389648438,0,0.0,
6,1.0,0,9,,0.19860076904296875,0,0.0,
7,1.0,0,9,,0.15927720069885254,0,0.0,
8,1.0,0,9,,0.19412708282470703,0,0.0,
1,1.5,0,1,post_centroid,0.04419207572937012,112,1256.3155876484275,47.16707751131093
2,1.5,0,1,post_centroid,0.0529329776763916,137,1500.8361324233547,71.7438518486357
3,1.5,0,1,post_centroid,0.05199146270751953,104,1211.8689041447608,65.53717815876497
4,1.5,0,1,post_centroid,0.05116581916809082,114,1203.073592520726,55.143965395313515
5,1.5,0,1,post_centroid,0.04891848564147949,109,1199.6814254690496,61.68045350532381
6,1.5,0,1,post_centroid,0.15093374252319336,98,1073.6825057312728,55.79563417234168
7,1.5,0,1,post_centroid,0.06380081176757812,146,1633.403286435267,61.51821927460145
8,1.5,0,1,post_centroid,0.058983802795410156,121,1269.6596207953316,59.97350423261166
1,1.5,0,1,post_uniform,0.05490303039550781,109,1194.0564251276542,68.18805076719809
2,1.5,0,1,post_uniform,0.06446552276611328,130,1420.5843532120343,53.757135533535184
3,1.5,0,1,post_uniform,0.051416873931884766,112,1224.1356785255778,72.58314648998537
